"Always","Sempre"
"After number of attempts to login","Dopo un numero di tentativi di login"
"Provided form does not exist","Apposito form non esiste"
"Incorrect CAPTCHA","CAPTCHA errato"
"Incorrect CAPTCHA.","CAPTCHA errato."
"Please enter the letters from the image","Inserisci le lettere dall'immagine"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Attenzione</strong>: Il captcha è case sensitive."
"Reload captcha","Ricarica il Captcha"
"Please type the letters below","Inserisci le lettere qui sotto"
"CAPTCHA","CAPTCHA"
"Enable CAPTCHA in Admin","Abilita CAPTCHA in Admin"
"Font","Font"
"Forms","Forms"
"Displaying Mode","Modalità di visualizzazione"
"Number of Unsuccessful Attempts to Login","Numero di tentativi falliti di Login"
"If 0 is specified, CAPTCHA on the Login form will be always available.","Se si specifica 0, il CAPTCHA nel form di accesso sarà sempre disponibile."
"CAPTCHA Timeout (minutes)","Timeout CAPTCHA (minuti)"
"Number of Symbols","Numero di simboli"
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","Specifica al massimo 8 simboli. Intervallo consentito (ad es. 3-5)"
"Symbols Used in CAPTCHA","Simboli utilizzati nel CAPTCHA"
"
                        Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.
                    ","                         Usa solo lettere (a-z o A-Z) o numeri (0-9) in questo campo. Nessuno spazio o altri caratteri sono consentiti. <br/> Caratteri con aspetto simile (per esempio ""i"", ""l"", ""1"") diminuiscono la probabilità di riconoscimento corretto dal cliente.                     "
"Case Sensitive","Maiuscole/minuscole"
"Enable CAPTCHA on Storefront","Abilita CAPTCHA sul frontend"
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen.","CAPTCHA per i form ""Crea utente"" e ""Password dimenticata"" è sempre attivato se scelto."
