"Search Term","Termine di ricerca"
"Results","Risultati"
"Uses","Utilizzi"
"Search Terms","Termini di ricerca"
"Search","Cerca"
"Add New Search Term","Aggiungi nuovo termine di ricerca"
"Save Search","Salva ricerca"
"Delete Search","Elimina ricerca"
"Edit Search '%1'","Modifica ricerca '%1'"
"New Search","Nuova ricerca"
"Search Information","Ricerca informazioni"
"General Information","Informazioni Generali"
"No","No"
"Yes","Sì"
"Search Query","Query di ricerca"
"Store","Negozio"
"Number of results","Numero di risultati"
"Number of results (For the last time placed)","Numero di risultati (per ultimo inserito)"
"For the last time placed.","Per l'ultimo eseguito."
"Number of Uses","Numero di utilizzi"
"Synonym For","Sinonimo per"
"Will make search for the query above return results for this search","Renderà la ricerca per la query sopra i risultati restituiti per questa ricerca"
"Redirect URL","URL di Reindirizzamento"
"ex. http://domain.com","es. http://dominio.com"
"Display in Suggested Terms","Mostra nei termini suggeriti"
"You deleted the search.","Hai eliminato la ricerca."
"We can't find a search term to delete.","Non è possibile trovare un termine di ricerca da eliminare."
"This search no longer exists.","Questa ricerca non esiste più."
"Edit Search","Modifica ricerca"
"Please select searches.","Seleziona ricerche."
"Total of %1 record(s) were deleted.","Un totale di %1 record sono stati eliminati."
"Reports","Reports"
"Search Terms Report","Report termini di ricerca"
"You saved the search term.","Hai salvato il termine di ricerca."
"Something went wrong while saving the search query.","Qualcosa è andato storto durante il salvataggio della query di ricerca."
"You already have an identical search term query.","Hai già una query di ricerca identica."
"Your search query can't be longer than %1, so we shortened your query.","La tua query di ricerca non può essere più lunga di %1, così è stata accorciata la query."
"Search entire store here...","Cerca nell'intero negozio..."
"There are no search terms available.","Non ci sono termini di ricerca disponibili."
"Search Engine","Motore di ricerca"
"CSV","CSV"
"Excel XML","Excel XML"
"ID","ID"
"Hits","Risultati"
"Delete","Elimina"
"Are you sure?","Sei sicuro?"
"Synonym","Sinonimo"
"Suggested Terms","Termini suggeriti"
"yes","sì"
"no","no"
"Action","Azione"
"Edit","Modifica"
