"Country","Paese"
"Allowed Credit Card Types","Tipi di carta di credito validi"
"Add Rule","Aggiungi regola"
"Month","Mese"
"Year","Anno"
"Stored Card","Carta memorizzata"
"Credit Card Type","Tipo di carta di credito"
"Credit Card Number","Numero carta di credito"
"Credit card successfully added","Carta di credito aggiunta correttamente"
"Something went wrong while saving the card.","Qualcosa è andato storto durante il salvataggio della carta."
"Credit card does not exist","La carta di credito non esiste"
"Delete Credit Card","Elimina carta di credito"
"There was error deleting the credit card","Si è verificato un errore nell'eliminazione della carta di credito"
"Credit card successfully deleted","Carta di credito eliminata correttamente"
"Edit Credit Card","Modifica carta di credito"
"My Credit Cards","Le mie carte di credito"
"New Credit Card","Nuova carta di credito"
"There was error during saving card data","Si è verificato l'errore durante il salvataggio dei dati della carta"
"We can't initialize checkout.","Non è possibile inizializzare il checkout."
"Please agree to all the terms and conditions before placing the order.","Si prega di accettare tutti i termini e le condizioni prima di effettuare l'ordine."
"We can't place the order.","Impossibile inviare l'ordine."
"Incorrect payment method.","Metodo di pagamento non corretto."
"We can't initialize checkout review.","Non è possibile inizializzare revisione nel check-out."
"We can't update shipping method.","Non è possibile aggiornare il metodo di spedizione."
"The processor declined your transaction, please re-enter your payment information","Transazione rifiutata, immettere nuovamente le informazioni di pagamento"
"Transaction declined by gateway: Check card details or try another card","Transazione rifiutata dal gateway: controllare i dettagli della carta o provare un'altra carta"
"Transaction declined: ","Transazione rifiutata: "
".","."
"The processor responded with an unknown error","Il processore ha risposto con un errore sconosciuto"
"Credit card type is not allowed for your country.","Tipo di carta di credito non permessa per il tuo paese."
"Credit card type is not allowed for this payment method.","Tipo di carta di credito non permesso per questo metodo di pagamento."
"Selected payment type is not allowed for billing country.","Tipo di pagamento selezionato non permesso per il paese di fatturazione."
"Incomplete payment information.","Informazioni di pagamento incomplete."
"Please try again later","Riprova più tardi"
"Can not find original authorization transaction for partial capture","Non è possibile trovare l'autorizzazione originale della transazione per l'acquisizione parziale"
"There was an error capturing the transaction: %1.","C'è stato un errore nell'acquisizione della transazione: %1."
"This refund is for a partial amount but the Transaction has not settled.","Questo rimborso è per un importo parziale, ma la transazione non è risolta."
"Please wait 24 hours before trying to issue a partial refund.","Si prega di attendere 24 ore prima di tentare di emettere un rimborso parziale."
"There was an error refunding the transaction: %1.","C'è stato un errore durante il rimborso della transazione: %1."
"Some transactions are already settled or voided and cannot be voided.","Alcune transazioni sono già depositate o annullate e non possono essere annullate."
"Voided capture.","Acquisizione annullata."
"There was an error voiding the transaction: %1.","C'è stato un errore durante l'annullamento della transazione: %1."
"Invoice","Fattura"
"Shipment","Spedizione"
"Authorize","Autorizza"
"Authorize and Capture","Autorizza e trattieni"
"--Please Select--","--Seleziona--"
"Invalid Customer ID provided","Fornito ID cliente non valido"
"some error","qualche errore"
"a,b,c","a,b,c"
"Something went wrong while processing.","Qualcosa è andato storto durante l'elaborazione."
"error","errore"
"exception","eccezione"
"Payment Information","Informazioni di pagamento"
"Add new card","Aggiungi una nuova carta"
"Please Select","Seleziona"
"Expiration Date","Data di scadenza"
"Card Verification Number","Numero di verifica della carta"
"Save this card for future use","Salva questa carta per usi futuri"
"or","o"
"Please confirm that you want to delete this credit card","Si prega di confermare che si desidera eliminare questa carta di credito"
"Cardholder Name","Nome del titolare"
"Delete","Elimina"
"Back","Indietro"
"* Required Fields","* Campi obbligatori"
"Credit Card","Carta di Credito"
"CVV","CVV"
"Card Verification Number Visual Reference","Scheda Verifica numero riferimento visivo"
"What is this?","Cos'è questo?"
"Make Default","Rendi predefinito"
"Billing Address","Indirizzo di Fatturazione"
"First Name","Nome"
"Last Name","Cognome"
"Company","Società"
"Address","Indirizzo"
"City","Città"
"State/Province","Stato/Provincia"
"Please select region, state or province","Seleziona la regione, stato o provincia"
"Zip/Postal Code","CAP"
"Submit","Invia"
"Add Credit Card","Aggiungi carta di credito"
"Type","Tipo"
"Card Number","Numero Carta"
"Is Default","È predefinito"
"Actions","Azioni"
