"Current store is not active.","Il negozio corrente non è attivo."
"Requested store is inactive","Lo store richiesto è inattivo"
"Requested store is not found","Lo store richiesto non è stato trovato"
"Environment emulation nesting is not allowed.","Annidamento ambienti di simulazione non consentito."
"Only default scope allowed","Consentito solo ambito predefinito"
"Invalid scope object","Oggetto ambito non valido"
"Store with the same code","Negozio con lo stesso codice"
"Website with the same code","Website con lo stesso codice"
"Website code may only contain letters (a-z), numbers (0-9) or underscore (_), and the first character must be a letter.","Il codice per il sito web può contenere solo lettere (a-z), numeri (0-9) o underscore (_),' ' e il primo carattere deve essere una lettera."
"Name is required","Il nome è obbligatorio"
"The store code may contain only letters (a-z), numbers (0-9) or underscore (_), and the first character must be a letter.","Il codice negozio può contenere solo lettere (a-z), numeri (0-9) o underscore (_), e il primo carattere deve essere una lettera."
"Store is inactive","Lo store è inattivo"
"Default store is inactive","Il negozio predefinito è inattivo"
"All Store Views","Tutte le Viste Negozio"
"-- Please Select --","-- Seleziona --"
"Admin","Admin"
"More than one default website is defined","È definito più di un website predefinito"
"Default website is not defined","Il website predefinito non è definito"
"Your Language:","La tua lingua:"
"Your Language","La tua lingua"
"Language","Lingua"
"Select Store","Seleziona negozio"
"Configuration","Configurazione"
"Various XML configurations that were collected across modules and merged.","Varie configurazioni XML raccolte dai moduli e poi unite."
"Layouts","Layouts"
"Layout building instructions.","Istruzioni di costruzione del layout."
"Blocks HTML output","Output Blocchi HTML"
"Page blocks HTML.","HTML Blocchi della pagina."
"Collections Data","Collections Data"
"Collection data files.","File collection dati."
"Reflection Data","Dati reflection"
"API interfaces reflection data.","Interfacce API dati reflection."
"Database DDL operations","Operazioni DDL database"
"Results of DDL queries, such as describing tables or indexes.","RIsultati delle query DDL, ad esempio descrivendo tabelle o indici."
